FID,x,y,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,,
2066,177064.4637,-419541.3433,2077,1895,CA,CCO,LAC, ,0,,,14, ,0,628.114,0,1,0,5928.650189,2541885.638,,
2067,171322.8668,-416443.0244,2078,1896,CA,CCO,LAC, ,0,,,14, ,0,7531.72,0,1,0,30166.82141,30479776.77,,
2068,175672.2117,-416587.2194,2079,1898,CA,CCO,LAC, ,0,,,14, ,0,1660.1,0,1,0,11223.40078,6718198.593,,
2069,190013.9815,-406560.4361,2080,1898,CA,CCO,LAC, ,0,,,14, ,0,428.439,0,1,0,4996.833661,1733830.029,,
2070,58388.35165,-396472.4898,2081,1898,CA,CCO,VNC,LOS PADRES,0,9/1/1898 12:00:00 AM,,14, ,0,20539.9,0,1,0,46191.33317,83122225.42,,
4199,63763.77515,-392803.0745,4210,1898,CA,CCO,VNC,MATILIJA,0,4/1/1898 12:00:00 AM,,14, ,0,2641.12,0,1,0,22586.83513,10688246.03,,
4200,67793.18635,-392675.208,4211,1898,CA,CCO,VNC,COZY DELL,0,9/1/1898 12:00:00 AM,,14, ,0,2974.59,0,1,0,15494.86507,12037719.71,,
2505,274913.6042,-451312.8391,2516,1900,CA,CDF,RRU, ,0,,,14, ,0,978.754,0,1,0,14434.88603,3960877.166,,
2506,169493.987,-421195.4665,2517,1900,CA,CCO,LAC,BIG FIRE,0,,,14, ,0,2521.06,0,1,0,17661.18468,10202383.38,,
2507,180711.1425,-417692.9347,2518,1900,CA,CCO,LAC,BIG FIRE,0,,,14, ,0,16960.5,0,1,0,60972.24015,68636685.55,,
2508,228920.7027,-464871.823,2519,1900,CA,CDF,RRU,BEDFORD-ISLAND,0,,,14, ,0,76.1022,0,1,0,3739.879145,307974.7491,,
2509,-176753.1516,286691.1653,2520,1900,CA,CDF,SHU,RI/ESCAPE,0,,,14, ,0,442.646,0,1,0,7785.821113,1791325.454,,
4201,295854.5482,-445837.0744,4212,1900,CA,USF,BDF, ,0,,,14, ,0,1300.43,0,1,0,11275.28343,5262650.173,,
4202,325969.081,-493552.1962,4213,1900,CA,CDF,RRU, ,0,,,14, ,0,755.653,0,1,0,8292.455851,3058018.356,,
4300,-100605.9954,229722.3733,4311,1900,CA,USF,PNF, ,0,,,14, ,0,419.398,0,1,1,5486.826205,1697245.399,,
4301,-83262.18315,402274.1488,4312,1900,CA,USF,MDF, ,0,,,14, ,0,77.0674,0,1,0,2356.513683,311880.8418,,
4303,63129.47515,-131039.0804,4314,1900,CA,CDF,FKU,DEER,0,,,14, ,0,168.755,0,1,0,3533.798195,682927.8601,,
